b'Car Model',b'Price'
b'2012 Honda Civic Sedan low mileage only 101k',"b'$7,400.00'"
b'2017 Honda Civic Sedan Touring - Leather - Navigation -  Lane Wa',"b'$21,500.00'"
"b'2019 Honda Civic Si / HONDA CANADA CERTIFI\xc3\x89 7 ANS/160KM Navi, Su'","b'$25,876.00'"
b'2013 Honda Civic Sdn LX/137K/MAN/BTOOTH/CRUISE/12 M WRTY+SAFETY',"b'$6,990.00'"
b'2007 HONDA CVIC READY TO GO',"b'$3,100.00'"
b'2014 Honda Civic Sedan EX',"b'$4,800.00'"
b'2018 Honda Civic 6 SPEED REAR CAMERA POWER GRP BLUETOOTH',"b'$15,776.00'"
b'2007 Honda Civic Sdn EX',"b'$1,900.00'"
b'2018 Honda Civic SEDAN TOURING CVT',"b'$23,502.00'"
b'2009 Honda CR-V EX',b'Please Contact'
b'2015 Honda Civic',"b'$9,000.00'"
b'2012 Honda Civic Sdn LX AUTO BLUETOOTH CRUISE',"b'$8,488.00'"
b'2015 Honda Civic Sedan EX',"b'$12,990.00'"
b'2016 Honda Civic Sedan LX',b'Please Contact'
b'2017 Honda Civic Sedan LX',"b'$16,264.00'"
b'2012 Honda Civic Sdn',"b'$5,495.00'"
b'2013 Honda Civic Sdn',"b'$8,595.00'"
b'2002 HONDA CIVIC FORSALE',b'$400.00'
b'2017 Honda Civic Type R',"b'$34,895.00'"
b'2010 Honda Civic Sdn DX-G',"b'$5,994.00'"
b'2012 Honda Civic',"b'$8,500.00'"
b'2005 Honda Civic SE (Special Edition) Sedan - Reduced Price',"b'$3,889.00'"
b'For sale',"b'$2,200.00'"
b'95 Honda civic coupe DX',"b'$12,345.00'"
b'2016 Honda CR-V SE',"b'$20,444.00'"
b'2015 Honda Civic Sedan LX',"b'$13,555.00'"
b'2016 Honda CR-V EX',"b'$20,344.00'"
b'2016 Honda CR-V LX',"b'$17,164.00'"
b'2017 Honda Civic Sedan Touring',"b'$18,644.00'"
b'2018 Honda CR-V EX-L',"b'$26,044.00'"
b'2017 Honda Civic Sedan EX',"b'$17,388.00'"
b'2017 Honda CR-V EX-L',"b'$24,644.00'"
b'2011 Honda Civic DX-G',"b'$8,644.00'"
b'2019 Honda CR-V EX',"b'$32,588.00'"
b'2018 Honda CR-V LX',"b'$21,722.00'"
b'2018 Honda Accord Sedan LX 1.5T',"b'$20,588.00'"
b'2018 Honda CR-V EX',"b'$26,922.00'"
b'2015 Honda Civic LX',"b'$11,788.00'"
b'2014 Honda Civic Sedan LX',"b'$12,044.00'"
b'2016 Mini Cooper Hardtop 5 Door Cooper',"b'$14,995.00'"
b'2016 Mini Cooper Hardtop Cooper',"b'$13,999.00'"
b'2020 Mini Countryman Cooper',"b'$36,399.00'"
b'2016 Mini Cooper Convertible Cooper',"b'$19,563.00'"
b'2018 Mini Clubman Cooper',"b'$22,995.00'"
b'2015 Mini Countryman Cooper S AWD 6-Speed Manual! Loaded with...',"b'$13,495.00'"
b'2015 Mini COOPER S 5DR S AUTO *** FREE WINTER TIRES & RIMS INC!!',"b'$14,595.00'"
b'2010 Mini Cooper HARDTOP',"b'$8,950.00'"
b'2016 Mini Cooper Hardtop S-AUTO-NAV-PANO-ONLY 13 K',"b'$22,900.00'"
b'2011 Mini Cooper Classic LEATHER HTD SEATS BLUETOOTH ALLOYS',"b'$4,469.00'"
b'2011 Mini Cooper Country ALL4',"b'$10,495.00'"
"b'2017 Mini Clubman Cooper SUNROOF, LEATHER, HEATED SEATS!!!'","b'$19,995.00'"
b'2016 Mini Cooper Clubman Cooper',"b'$15,995.00'"
b'2015 Mini Cooper Countryman 6 SPEED-JCW PKG-ALL4 4dr S-PANO-40K',"b'$19,900.00'"
b'2008 MINI Cooper Loaded with Extra Winter Tires & Rims !',"b'$3,499.00'"
b'2014 Mini Cooper Paceman ALL4',"b'$12,743.00'"
b'2013 Mini Cooper Hardtop Knightsbridge Classic',"b'$12,195.00'"
b'2008 MINI Cooper Hardtop Classic',"b'$3,995.00'"
b'2010 Mini Cooper S - Safetied and ready to go!',"b'$6,350.00'"
b'****Lease takeover****2019 MINI COOPER S 5 DOOR',b'$559.00'
b'2013 MINI Cooper with Leather',"b'$8,900.00'"
b'2019 Mini Countryman Cooper ALL4 LEATHER PANO ROOF REAR CAM HTD',"b'$25,997.00'"
b'2016 Mini Clubman Cooper NO ACCIDENTS I ONE OWNER NAVI | R.CA...',"b'$16,788.00'"
b'2015 Mini 3 Door COOPER S-PANOROOF-LEATHER-BI XENON',"b'$15,900.00'"
b'2010 Mini Cooper Hardtop S 2DR COUPE',"b'$6,871.00'"
"b'2016 Mini Clubman Cooper LEATHER, PANOROOF, HEATED SEATS, BEA...'","b'$14,495.00'"
b'2010 Mini COOPER S',"b'$5,981.00'"
b'2012 MINI Cooper Hardtop S Bayswater Edition',"b'$9,995.00'"
b'Mini Cooper Clubman S',"b'$4,995.00'"
b'2016 Mini Cooper toit rigide 5 portes',"b'$14,995.00'"
"b'2017 Mini Cooper Convertible CONVERTIBLE, LEATHER, CLEAN!'","b'$21,175.00'"
b'2019 Mini 3 portes Cooper',"b'$20,995.00'"
b'**Good Price Good Condition** Mini Cooper 2010 edition Mayfair',"b'$3,900.00'"
b'2005 Mini Cooper',"b'$1,500.00'"
b'2013 Mini Cooper Convertible LEATHER A/C POWER GROUP LEATHER A/C',"b'$12,888.00'"
b'2016 Mini Cooper Clubman S - MOONROOF HEATED SEATS LEATHER GPS M',"b'$18,888.00'"
b'2011 MINI Cooper Countryman S ALL4',"b'$9,995.00'"
b'2015 Mini Cooper Hardtop S NAVI 2 SET TIRES CLEAN CARFAX INCLUDE',"b'$13,888.00'"
b'2013 MINI Cooper Basic',"b'$10,200.00'"
b'For Sale',"b'$3,500.00'"
b'2019 Mini Countryman Cooper S',"b'$34,995.00'"
b'2012 Honda Civic Sdn LX/AUTO/BTOOTH/CRUISE/12 M WRTY+SAFETY',"b'$6,300.00'"
b'Honda civic 2012',"b'$7,500.00'"
b'2016 Honda Civic Sedan EX-T CVT HS',"b'$17,510.00'"
b'2014 Honda Civic Sedan DX',"b'$4,200.00'"
b'2019 Mini Convertible Cooper S',"b'$34,898.00'"
b'TOWING / SCRAP CAR REMOVAL / PARKING PATROL',b'Please Contact'
b'2017 Honda Civic Sedan EX  Lease take-over.',b'Please Contact'
